State,City,Airport,LocID,"Ownership","Svc Lvl","Hub","Role","Enplaned","Based Aircraft","Development Estimate 2025-2029"
Alabama,Sylacauga,Merkel Field Sylacauga Municipal,SCD,PU,GA,,Local,0,25,"3,637,230"
Alabama,Talladega,Talladega Municipal,ASN,PU,GA,,Regional,0,36,"8,590,558"
Alabama,Troy,Troy Municipal at N Kenneth Campbell Field,TOI,PU,GA,,Regional,2,33,"7,581,666"
Alabama,Tuscaloosa,Tuscaloosa Ntl,TCL,PU,GA,,National,"3,370",109,"48,976,157"
Alabama,Tuskegee,Moton Field Municipal,06A,PU,GA,,Basic,0,10,"6,964,806"
Alabama,Union Springs,Franklin Field,07A,PU,GA,,Basic,0,10,"5,051,667"
Alabama,Wetumpka,Wetumpka Municipal,08A,PU,GA,,Local,0,53,"3,987,771"
Alaska,Adak (Naval) Station/Mitchell Field,Adak,ADK,PU,GA,,Local,"2,149",0,"49,772,153"
Alaska,Akhiok,Akhiok,AKK,PU,GA,,Basic,651,0,"14,951,529"
Alaska,Akiachak,Akiachak,Z13,NA,CS,,Basic,"3,033",0,"5,347,640"
Alaska,Akiak,Akiak,AKI,PU,GA,,Basic,"2,367",0,"6,166,245"
Alaska,Akutan,Akutan,7AK,PU,GA,,Basic,"2,236",0,"1,507,190"
Alaska,Akutan,Akutan,KQA,PU,GA,,Basic,"1,209",0,"7,000,000"
Alaska,Alakanuk,Alakanuk,AUK,PU,GA,,Basic,"2,488",0,"1,161,949"
Alaska,Aleknagik,Aleknagik /New,5A8,PU,GA,,Basic,0,0,0
Alaska,Allakaket,Allakaket,6A8,PU,GA,,Basic,"1,481",0,"2,880,000"
Alaska,Ambler,Ambler,AFM,PU,GA,,Basic,"1,847",1,"6,910,000"
Alaska,Anaktuvuk Pass,Anaktuvuk Pass,AKP,PU,CS,,Local,"3,000",0,"13,111,100"
Alaska,Anchorage,Ted Stevens Anchorage International,ANC,PU,P,M,,"2,681,818",85,"319,008,800"
Alaska,Anchorage,Lake Hood,LHD,PU,GA,,Local,"11,800",0,"28,544,333"
Alaska,Anchorage,Merrill Field,MRI,PU,P,N,,"30,269",843,"82,053,448"
Alaska,Angoon,Angoon,AGN,PU,GA,,Basic,"2,256",0,"2,000,000"
Alaska,Aniak,Aniak,ANI,PU,CS,,Local,"4,707",0,"13,847,730"
Alaska,Anvik,Anvik,ANV,PU,GA,,Basic,558,0,"1,400,000"
Alaska,Arctic Village,Arctic Village,ARC,NA,GA,,Basic,"1,750",0,0
Alaska,Atka,Atka,AKA,PU,GA,,Basic,318,0,"1,600,000"
Alaska,Atmautluak,Atmautluak,4A2,PU,GA,,Basic,"2,403",0,"12,266,667"
Alaska,Atqasuk,Atqasuk Edward Burnell Sr Memorial,ATK,PU,GA,,Basic,"1,833",0,"9,503,856"
Alaska,Barrow,Wiley Post-Will Rogers Memorial,BRW,PU,P,N,,"41,579",8,"32,738,809"
Alaska,Beaver,Beaver,WBQ,PU,GA,,Basic,912,0,"13,200,000"
Alaska,Bethel,Bethel,BET,PU,P,N,,"153,548",110,"40,592,387"
Alaska,Bettles,Bettles,BTT,PU,GA,,Basic,"1,571",10,"1,393,873"
Alaska,Big Lake,Big Lake,BGQ,PU,GA,,Local,0,72,"3,160,373"
Alaska,Birch Creek,Birch Creek,Z91,PU,GA,,Basic,284,0,"11,250,000"
Alaska,Birchwood,Birchwood,BCV,PU,GA,,Local,0,320,"1,500,000"
Alaska,Boundary,Boundary,BYA,PU,GA,,Unclassified,0,0,0
Alaska,Brevig Mission,Brevig Mission,KTS,PU,GA,,Basic,"2,351",0,"1,290,000"
Alaska,Buckland,Buckland,BVK,PU,CS,,Local,"3,615",1,"13,402,206"
Alaska,Central,Central,CEM,PU,GA,,Basic,19,2,"3,250,000"
Alaska,Chalkyitsik,Chalkyitsik,CIK,PU,GA,,Basic,622,0,"1,680,000"
Alaska,Chandalar,Chandalar Shelf,5CD,PU,GA,,Basic,0,0,"6,000,000"
Alaska,Chandalar,Chandalar Lake,WCR,PU,GA,,Basic,61,0,"1,400,000"
Alaska,Chefornak,Chefornak,CFK,PU,CS,,Local,"2,913",0,0
Alaska,Chenega,Chenega Bay,C05,PU,GA,,Basic,521,0,"5,250,000"
Alaska,Chevak,Chevak,VAK,PU,CS,,Local,"4,704",0,0
Alaska,Chicken,Chicken,CKX,PU,GA,,Basic,29,0,"1,400,000"
Alaska,Chignik,Chignik,AJC,PU,GA,,Basic,440,1,"8,282,287"
Alaska,Chignik Lagoon,Chignik Lagoon,KCL,PU,GA,,Basic,476,1,"10,000,000"
Alaska,Chignik Lake,Chignik Lake,A79,PU,GA,,Basic,216,0,"6,365,400"
Alaska,Chisana,Chisana,CZN,PU,GA,,Basic,79,0,"800,000"
Alaska,Chitina,Chitina,CXC,PU,GA,,Basic,1,1,"5,200,000"
Alaska,Chuathbaluk,Chuathbaluk,9A3,PU,GA,,Basic,176,0,"17,774,267"
Alaska,Circle,Circle City,CRC,PU,GA,,Basic,247,0,"6,700,000"
Alaska,Circle Hot Springs,Circle Hot Springs,CHP,PU,GA,,Unclassified,0,4,0
Alaska,Clarks Point,Clarks Point,CLP,PU,GA,,Basic,402,2,"6,824,444"
Alaska,Clear,Clear,Z84,PU,GA,,Unclassified,0,1,0
Alaska,Coffman Cove,Coffman Cove,KCC,PU,GA,,Basic,20,0,"1,200,000"
Alaska,Cold Bay,Cold Bay,CDB,PU,CS,,Local,"3,023",3,"10,550,134"
Alaska,Coldfoot,Coldfoot,CXF,PU,CS,,Local,"5,634",3,"1,904,020"
Alaska,Cordova,Merle K (Mudhole) Smith,CDV,PU,P,N,,"18,244",29,"111,568,754"
Alaska,Cordova,Cordova Municipal,CKU,PU,GA,,Basic,16,19,0
Alaska,Council,Council,K29,PU,GA,,Basic,0,0,"2,400,000"
Alaska,Craig,Craig,CGA,PU,GA,,Basic,80,1,"2,500,000"
Alaska,Crooked Creek,Crooked Creek,CJX,PU,GA,,Basic,555,0,"4,696,718"
Alaska,Deadhorse,Deadhorse,SCC,PU,P,N,,"82,296",10,"88,018,750"
Alaska,Deering,Deering,DEE,PU,GA,,Basic,"1,322",0,"35,527,206"
Alaska,Dillingham,Dillingham,DLG,PU,P,N,,"34,815",59,"23,870,778"
Alaska,Diomede,Diomede,DM2,PU,GA,,Basic,166,0,"8,850,526"
Alaska,Eagle,Eagle,EAA,PU,GA,,Basic,579,1,"6,900,000"
Alaska,Eek,Eek,EEK,PU,CS,,Local,"2,812",0,"23,162,754"
Alaska,Egegik,Egegik,EII,PU,GA,,Basic,"1,038",0,0
Alaska,Ekwok,Ekwok,KEK,PU,GA,,Basic,523,0,"688,158"
Alaska,Elfin Cove,Elfin Cove,ELV,PU,GA,,Basic,412,0,"1,000,000"
Alaska,Elim,Elim,ELI,PU,GA,,Basic,"2,005",0,"3,390,000"
Alaska,Emmonak,Emmonak,ENM,PU,CS,,Local,"9,760",1,"10,400,000"
Alaska,English Bay,Nanwalek,KEB,PU,GA,,Basic,"2,065",0,"1,500,000"
Alaska,Excursion Inlet,Excursion Inlet,EXI,PU,GA,,Basic,15,0,"1,000,000"
Alaska,Fairbanks,Fairbanks International,FAI,PU,P,S,,"548,679",569,"133,752,685"
Alaska,False Pass,False Pass,KFP,PU,GA,,Basic,65,0,"1,000,000"
Alaska,Flat,Flat,FLT,PU,GA,,Basic,3,0,0
Alaska,Fort Yukon,Fort Yukon,FYU,PU,CS,,Local,"5,506",0,"1,880,000"
Alaska,Funter (Variant: Funter Bay),Funter Bay,FNR,PU,GA,,Unclassified,1,0,0
Alaska,Galena,Edward G Pitka Sr,GAL,PU,P,N,,"11,758",0,"480,000"
Alaska,Gambell,Gambell,GAM,PU,CS,,Local,"3,142",0,"6,300,000"
Alaska,Girdwood,Girdwood,AQY,PU,GA,,Basic,0,25,"11,500,465"
Alaska,Golovin,Golovin,GLV,PU,GA,,Basic,"1,505",0,"6,413,369"
Alaska,Goodnews Bay,Goodnews,GNU,PU,GA,,Basic,902,0,"5,100,000"
Alaska,Grayling,Grayling,KGX,PU,GA,,Basic,743,0,"6,500,000"
Alaska,Gulkana,Gulkana,GKN,PU,GA,,Local,303,20,"18,900,000"
Alaska,Gustavus,Gustavus,GST,PU,CS,,Regional,"9,584",15,"19,156,579"
Alaska,Haines,Haines,HNS,PU,CS,,Local,"6,306",21,"27,520,373"
Alaska,Healy,Healy River,HRR,PU,GA,,Basic,"1,656",9,"1,842,105"
Alaska,Hollis,Clark Bay,HYL,PU,GA,,Basic,90,0,"1,200,000"
Alaska,Holy Cross,Holy Cross,HCA,PU,GA,,Basic,346,0,"1,290,000"
Alaska,Homer,Homer,HOM,PU,P,N,,"34,682",91,"2,604,927"
Alaska,Hoonah,Hoonah,HNH,PU,CS,,Local,"5,790",3,"5,450,000"
Alaska,Hoonah,Hoonah,OOH,PU,GA,,Unclassified,0,0,0
Alaska,Hooper Bay,Hooper Bay,HPB,PU,CS,,Local,"4,314",0,"2,725,000"
Alaska,Hope,Hope,5HO,PU,GA,,Basic,0,12,"5,500,000"
Alaska,Hughes,Hughes,HUS,PU,GA,,Basic,"1,050",0,"13,900,000"
Alaska,Huslia,Huslia,HLA,PU,CS,,Local,"3,304",1,"800,000"
Alaska,Hydaburg,Hydaburg,HYG,PU,GA,,Basic,4,0,"6,000,000"
Alaska,Hyder,Hyder,4Z7,PU,GA,,Basic,58,0,"1,200,000"
Alaska,Igiugig,Igiugig,IGG,PU,GA,,Basic,709,2,"12,256,522"
Alaska,Iliamna,Iliamna,ILI,PU,CS,,Local,"5,749",24,"2,023,943"
Alaska,Juneau,Juneau International,JNU,PU,P,N,,"440,279",272,"21,320,000"
Alaska,Kake,Kake,AFE,PU,CS,,Local,"3,605",0,"3,273,333"
Alaska,Kake,Kake,KAE,PU,GA,,Basic,0,0,"3,500,000"
Alaska,Kaktovik,Barter Island,BTI,MA,GA,,Basic,"1,864",0,"13,204,300"
Alaska,Kaltag,Kaltag,KAL,PU,GA,,Basic,"1,584",0,"817,206"
Alaska,Kantishna,Kantishna,5Z5,PU,GA,,Basic,3,0,0
Alaska,Karluk,Karluk,KYK,PU,GA,,Basic,293,0,"3,449,000"
Alaska,Kasaan,Kasaan,KXA,PU,GA,,Basic,3,0,"1,000,000"
Alaska,Kasigluk,Kasigluk,Z09,PU,CS,,Local,"3,386",0,"14,000,000"
Alaska,Kenai,Kenai Municipal,ENA,PU,P,N,,"67,062",47,"65,161,628"
Alaska,Ketchikan,Murphys Pullout,8K9,PU,GA,,Basic,0,7,"7,400,000"
Alaska,Ketchikan,Ketchikan International,KTN,PU,P,N,,"148,645",5,"134,974,101"
Alaska,Kiana,Bob Baker Memorial,IAN,PU,CS,,Basic,"2,759",12,"7,410,000"
Alaska,King Cove,King Cove,KVC,PU,GA,,Local,"2,380",0,"14,757,773"
Alaska,King Salmon,King Salmon,AKN,PU,P,N,,"38,021",39,"33,900,000"
Alaska,Kipnuk,Kipnuk,IIK,PU,CS,,Local,"4,466",0,"1,000,000"
Alaska,Kivalina,Kivalina,KVL,PU,CS,,Local,"3,003",0,"1,796,667"
Alaska,Klawock,Klawock,AKW,PU,P,N,,"16,733",7,"38,298,420"
Alaska,Kobuk,Dahl Creek,DCK,PU,GA,,Unclassified,182,0,0
Alaska,Kobuk,Kobuk,OBU,PU,GA,,Basic,965,0,"7,155,000"
Alaska,Kodiak,Kodiak,ADQ,PU,P,N,,"85,183",41,"54,737,126"
Alaska,Kodiak,Kodiak Municipal,KDK,PU,GA,,Basic,0,11,0
Alaska,Kodiak,Trident Basin,T44,PU,GA,,Basic,0,13,0
Alaska,Kodiak Island (Borough),Kitoi Bay,KKB,PU,GA,,Basic,93,0,0
Alaska,Kokhanok,Kokhanok,9K2,PU,GA,,Basic,"1,800",0,"18,764,329"
Alaska,Koliganek,Koliganek,JZZ,PU,GA,,Basic,908,0,"32,596,000"
Alaska,Kongiganak,Kongiganak,DUY,PU,CS,,Local,"2,725",0,"11,346,333"
Alaska,Kotlik,Kotlik,2A9,PU,CS,,Basic,"2,557",0,"16,812,832"
Alaska,Kotzebue,Ralph Wien Memorial,OTZ,PU,P,N,,"60,124",43,"77,152,804"
Alaska,Koyuk,Koyuk Alfred Adams,KKA,PU,GA,,Basic,"1,547",0,"14,950,000"
